dateObj	itemsObj	Nodes	JSHeapUsedSize	totalMessagesMiniMongo
11-11-2019 14:21:40	0	6201	34609144	0
11-11-2019 14:22:40	138	8623	36738208	137
11-11-2019 14:23:40	247	10658	45017832	247
11-11-2019 14:24:40	331	12360	55698312	330
11-11-2019 14:25:40	403	13774	52800648	403
11-11-2019 14:26:45	470	15144	77102416	470
11-11-2019 14:27:45	528	16328	79662072	528
11-11-2019 14:28:45	582	17405	100061096	582
11-11-2019 14:29:50	635	18500	103977040	634
11-11-2019 14:30:50	683	19485	122879072	683
11-11-2019 14:31:50	729	20375	122921808	728
11-11-2019 14:32:55	770	21225	43096440	770
11-11-2019 14:34:00	812	22002	44921832	812
11-11-2019 14:35:00	853	22700	68832416	850
11-11-2019 14:36:05	891	23459	84567912	888
11-11-2019 14:37:05	926	24229	87693784	926
11-11-2019 14:38:10	964	24957	70869768	963
11-11-2019 14:39:15	998	25646	68675400	998
11-11-2019 14:40:15	1030	26286	79290224	1030
11-11-2019 14:41:20	1066	26904	87231648	1064
11-11-2019 14:42:25	1100	27699	65820176	1100
11-11-2019 14:43:30	1132	28428	148880328	1130
11-11-2019 14:44:35	1165	28943	92801592	1163
11-11-2019 14:45:40	1193	29638	135159656	1193
11-11-2019 14:46:45	1221	30174	137193640	1220
11-11-2019 14:47:55	1250	30718	112338240	1249
11-11-2019 14:49:00	1280	31290	113962328	1279
11-11-2019 14:50:10	1310	31888	103132216	1309
11-11-2019 14:51:20	1336	32356	101747904	1336
11-11-2019 14:52:25	1365	32952	95254944	1363
11-11-2019 14:53:30	1390	33452	91694784	1390
11-11-2019 14:54:40	1418	34048	54662736	1417
11-11-2019 14:55:50	1440	34593	156496440	1440
11-11-2019 14:56:55	1465	35009	108854000	1465
11-11-2019 14:57:55	1489	35482	78042280	1487
11-11-2019 14:59:05	1511	35912	112954824	1511
11-11-2019 15:00:05	1537	36355	64229992	1535
11-11-2019 15:01:15	1563	36985	153851864	1561
11-11-2019 15:02:25	1587	37455	137856640	1586
11-11-2019 15:03:35	1612	37923	111830664	1612
11-11-2019 15:04:45	1634	38382	88539440	1634
11-11-2019 15:05:50	1657	38803	54612640	1657
11-11-2019 15:06:55	1678	39296	134776424	1678
11-11-2019 15:08:00	1700	39621	101266896	1698
11-11-2019 15:09:10	1722	40073	72098704	1722
11-11-2019 15:10:20	1740	40571	176641744	1740
11-11-2019 15:11:30	1765	40922	115368472	1762
11-11-2019 15:12:45	1787	41392	70297976	1785
11-11-2019 15:13:55	1805	41813	121057856	1804
11-11-2019 15:15:05	1831	42110	51876608	1827
11-11-2019 15:16:15	1851	42682	151351160	1847
11-11-2019 15:17:25	1870	43002	110076032	1866
11-11-2019 15:18:35	1890	43400	65079712	1889
11-11-2019 15:19:45	1910	43861	131204488	1908
11-11-2019 15:20:55	1926	44217	90528296	1926
11-11-2019 15:22:00	1946	44685	187265144	1946
11-11-2019 15:23:10	1969	45002	55522016	1969
11-11-2019 15:24:20	1990	45425	56794272	1990
11-11-2019 15:25:25	2014	45895	72014520	2013
11-11-2019 15:26:35	2035	46311	68422808	2034
11-11-2019 15:27:40	2054	46709	70985376	2054
11-11-2019 15:28:50	2077	47142	56790832	2076
11-11-2019 15:30:00	2099	47585	67511328	2098
11-11-2019 15:31:05	2116	47946	68898584	2116
11-11-2019 15:32:10	2141	48426	67004600	2140
11-11-2019 15:33:20	2161	48812	67507952	2161
11-11-2019 15:34:30	2182	49246	68116200	2181
11-11-2019 15:35:45	2205	49727	79086624	2205
11-11-2019 15:36:50	2225	50046	66493072	2225
11-11-2019 15:37:55	2245	50489	86085312	2243
11-11-2019 15:39:10	2265	50923	71730680	2265
11-11-2019 15:40:20	2288	51290	80916288	2283
11-11-2019 15:41:30	2306	51748	59925952	2306
11-11-2019 15:42:35	2324	52110	75731592	2324
11-11-2019 15:43:35	2340	52429	89348248	2340
11-11-2019 15:44:40	2363	52892	72862088	2363
11-11-2019 15:45:40	2378	53183	65589512	2378
11-11-2019 15:46:45	2398	53527	71875648	2397
11-11-2019 15:47:55	2417	53903	62534632	2414
11-11-2019 15:49:05	2435	54312	78145304	2435
11-11-2019 15:50:20	2458	54784	61081168	2458
11-11-2019 15:51:30	2477	55125	90081776	2475
11-11-2019 15:52:40	2497	55522	66659120	2495
11-11-2019 15:53:55	2516	55923	74254016	2515
11-11-2019 15:55:05	2537	56313	76622912	2537
11-11-2019 15:56:15	2556	56680	71016592	2553
11-11-2019 15:58:40	2591	57416	62144416	2590
11-11-2019 15:59:55	2613	57803	72071520	2613
